step,time,i,j,k,x,y,z,dx,dy,dz,state,T,pressure
0,0,0,0,0,0.015,0.015,0.015,0.03,0.03,0.03,1,20,0
0,0,0,0,1,0.015,0.015,0.04,0.03,0.03,0.02,1,20,0
0,0,0,1,0,0.015,0.04,0.015,0.03,0.02,0.03,1,20,0
0,0,0,1,1,0.015,0.04,0.04,0.03,0.02,0.02,1,20,0
0,0,1,0,0,0.04,0.015,0.015,0.02,0.03,0.03,1,20,0
0,0,1,0,1,0.04,0.015,0.04,0.02,0.03,0.02,1,20,0
0,0,1,1,0,0.04,0.04,0.015,0.02,0.02,0.03,1,20,0
0,0,1,1,1,0.04,0.04,0.04,0.02,0.02,0.02,1,20,0
0,0,0,0,0,0.015,0.015,0.015,0.03,0.03,0.03,1,20,0
0,0,0,0,1,0.015,0.015,0.04,0.03,0.03,0.02,1,20,0
0,0,0,1,0,0.015,0.04,0.015,0.03,0.02,0.03,1,20,0
0,0,0,1,1,0.015,0.04,0.04,0.03,0.02,0.02,1,20,0
0,0,1,0,0,0.04,0.015,0.015,0.02,0.03,0.03,1,20,0
0,0,1,0,1,0.04,0.015,0.04,0.02,0.03,0.02,1,20,0
0,0,1,1,0,0.04,0.04,0.015,0.02,0.02,0.03,1,20,0
0,0,1,1,1,0.04,0.04,0.04,0.02,0.02,0.02,1,20,0
