step,time,requested_x,requested_y,requested_z,i,j,k,T,pressure,velocity_magnitude
0,0,0.22,0,0.3,4,0,13,20,0,0
0,0,0.22,0,0.3,4,0,13,20,0,0
1,0.05,0.22,0,0.3,4,0,13,20,-0.00281582,0.0320721
2,0.1,0.22,0,0.3,4,0,13,20,0,0
3,0.15,0.22,0,0.3,4,0,13,20,-0.00281582,0.0320721
4,0.2,0.22,0,0.3,4,0,13,20,0,0
5,0.25,0.22,0,0.3,4,0,13,20,-0.00281582,0.0320721
6,0.3,0.22,0,0.3,4,0,13,20,0,0
7,0.35,0.22,0,0.3,4,0,13,20,-0.00281582,0.0320721
8,0.4,0.22,0,0.3,4,0,13,20,0,0
9,0.45,0.22,0,0.3,4,0,13,20,-0.00281582,0.0320721
10,0.5,0.22,0,0.3,4,0,13,20,0,0
11,0.55,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
12,0.6,0.22,0,0.3,4,0,13,20,0,0
13,0.65,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
14,0.7,0.22,0,0.3,4,0,13,20,0,0
15,0.75,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
16,0.8,0.22,0,0.3,4,0,13,20,0,0
17,0.85,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
18,0.9,0.22,0,0.3,4,0,13,20,0,0
19,0.95,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
20,1,0.22,0,0.3,4,0,13,20,0,0
21,1.05,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
22,1.1,0.22,0,0.3,4,0,13,20,0,0
23,1.15,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
24,1.2,0.22,0,0.3,4,0,13,20,0,0
25,1.25,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
26,1.3,0.22,0,0.3,4,0,13,20,0,0
27,1.35,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
28,1.4,0.22,0,0.3,4,0,13,20,0,0
29,1.45,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
30,1.5,0.22,0,0.3,4,0,13,20,0,0
31,1.55,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
32,1.6,0.22,0,0.3,4,0,13,20,0,0
33,1.65,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
34,1.7,0.22,0,0.3,4,0,13,20,0,0
35,1.75,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
36,1.8,0.22,0,0.3,4,0,13,20,0,0
37,1.85,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
38,1.9,0.22,0,0.3,4,0,13,20,0,0
39,1.95,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
40,2,0.22,0,0.3,4,0,13,20,0,0
41,2.05,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
42,2.1,0.22,0,0.3,4,0,13,20,0,0
43,2.15,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
44,2.2,0.22,0,0.3,4,0,13,20,0,0
45,2.25,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
46,2.3,0.22,0,0.3,4,0,13,20,0,0
47,2.35,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
48,2.4,0.22,0,0.3,4,0,13,20,0,0
49,2.45,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
50,2.5,0.22,0,0.3,4,0,13,20,0,0
51,2.55,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
52,2.6,0.22,0,0.3,4,0,13,20,0,0
53,2.65,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
54,2.7,0.22,0,0.3,4,0,13,20,0,0
55,2.75,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
56,2.8,0.22,0,0.3,4,0,13,20,0,0
57,2.85,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
58,2.9,0.22,0,0.3,4,0,13,20,0,0
59,2.95,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
60,3,0.22,0,0.3,4,0,13,20,0,0
61,3.05,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
62,3.1,0.22,0,0.3,4,0,13,20,0,0
63,3.15,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
64,3.2,0.22,0,0.3,4,0,13,20,0,0
65,3.25,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
66,3.3,0.22,0,0.3,4,0,13,20,0,0
67,3.35,0.22,0,0.3,4,0,13,20,-0.0027687,0.0319969
68,3.4,0.22,0,0.3,4,0,13,20,0,0
