step,time,temperature_all_min,temperature_all_max,temperature_all_avg,temperature_all_stddev,fluid_velocity_min,fluid_velocity_max,fluid_velocity_avg,fluid_velocity_rms,fluid_velocity_stddev,fluid_pressure_min,fluid_pressure_max,fluid_pressure_avg,fluid_pressure_stddev
0,0,20,20,20,0,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
0,0,20,20.0281,20.002,0.00707339,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
10,0.5,20,20.3093,20.023,0.0776047,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
20,1,20,20.5904,20.0456,0.147949,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
30,1.5,20,20.8715,20.0697,0.218434,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
40,2,20,21.1527,20.0954,0.289338,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
50,2.5,20,21.4338,20.1227,0.360862,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
60,3,20,21.7149,20.1513,0.433132,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
70,3.5,20,21.9961,20.1812,0.506212,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
80,4,20,22.2772,20.2123,0.580121,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
90,4.5,20,22.5583,20.2445,0.654845,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
100,5,20,22.8394,20.2777,0.730351,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
110,5.5,20,23.1205,20.312,0.806596,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
120,6,20,23.4016,20.3471,0.883527,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
130,6.5,20,23.6827,20.3831,0.961091,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
140,7,20,23.9637,20.42,1.03924,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
150,7.5,20,24.2448,20.4576,1.11792,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
160,8,20,24.5259,20.4959,1.19708,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
170,8.5,20,24.8069,20.5349,1.27669,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
180,9,20,25.088,20.5746,1.35671,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
190,9.5,20,25.369,20.615,1.4371,0,0.180271,0.00291428,0.0214631,0.0212643,0,0,0,0
